id,name,description
1,IPL・インディアペール(ラガー),"発祥は不明。
現在各国のクラフトビール協会などではスタイルの一つとしては認められていないが、人気がありかなり多くの醸造所がこちらのスタイルを採用している。色は金色からアンバー。ラガービールの醍醐味でもあるモルトよりホップの味と香りが強いのが特長である。IPLと略されることが多い。"
2,アイスボック(ラガー),"ドイツを発祥としたビールのスタイル。
ダブルボックを凍らせ、凍った部分(水)を抜くことでさらにアルコール度数を高くし、ボディーを重くしたビール。"
3,アンバー・レッド(ラガー),"発祥は不明だが、アメリカでは一つのスタイルとして定着している。
名前のまま色はアンバーから赤茶色で、ホップの味と香りよりは、モルト(麦芽)の味と香りが強く、ボディーも軽いのが特長である。"
4,ウィーン(ラガー),"ドイツを発祥としたビールのスタイル。
色はアンバーから茶色。微かなモルトの香ばしさとホップの苦味が特徴である。
このスタイルの発祥であるドイツのウィーンではほとんど醸造されなくなり、現在はメキシコでこのスタイルが採用され人気となっている。"
5,シュヴァルツ・ダーク(ラガー),"ドイツを発祥としたビールのスタイル。
ドイツ語で「黒ビール」という意味を持つ。色は黒に近く、麦芽をローストすることで、香ばしさが強調される。
ドイツの製法ではなく、このスタイルと似たビールは、「ダーク」と呼ばれることも多い。"
6,スティーム・カリフォルニアコモン(ラガー),"アメリカを発祥としたビールのスタイル。
ラガーの酵母を使用しながら、エールと同等の温度で発酵させる独特な手法で醸造されている。色はアンバーから茶色。モルトの味と香りが強いが、エールビールのようにホップのフルーティーさが少々漂うのが特長である。"
7,ダブル・インペリアルピルスナー(ラガー),"発祥は不明。
ピルスナーと見た目は同じだが、モルトの味と香りが強調されている。アルコールの度数も高く、苦味も強いのが特長である。"
8,デュンケル(ラガー),"ドイツを発祥としたビールのスタイル。
ドイツ語で「濃い」という意味を持つ。アンバーから茶色。モルト(麦芽)の香ばしさ・甘さなどが特長である。"
9,ドッペル・ダブルボック(ラガー),"ドイツを発祥としたビールのスタイル。
「ドッペル」または「ダブル」とは、通常のボックスタイルより「アルコール度数が高い」「モルト(麦芽)の香り・味が強い」「ボディーが重い」などが特長である。"
10,ドルトムンダー・エクスポート(ラガー),"ドイツを発祥としたビールのスタイル。
チェコのピルゼン地区で醸造されていたピルスナースタイルから影響を受け、誕生したスタイルである。色は淡色でホップとモルトのバランスがとれている。苦味もピルスナーと同等レベルで、キレが良い喉越しである。"
11,ピルスナー(ラガー),"チェコを発祥としたビールのスタイル。
淡色で炭酸が強くホップの香りと苦味が特長の日本で最も飲まれているビール。「ラガー」と呼ばれることが多いが、「ラガー」は、総称。ピルスナーが正しい呼び方である。"
12,プレミアム(ラガー),発祥は不明。色は、濃い金から銅色。ライト・ドライラガーより、風味は豊かだが際だった味(ホップやモルト)は無い。このスタイルが誕生した一つの仮説として、ピルスナーとペールラガーのどちらにも付随していないビールを聞こえよくする為にプレミアムというスタイル名を付けたのが始まりとされている。
13,ヘレス・ブロンド(ラガー),"ドイツを発祥としたビールのスタイル。
ドイツ語で「淡い」という意味を持つ。ピルスナーなどの淡色ビールが人気が出始めた1890年頃、ドイツのミュンヘンではピルスナーに対抗するため独自で淡いビールを醸造した。これがヘレスと呼ばれ、ピルスナーの特長であるホップの香りと苦味よりは、モルト(麦芽)の存在が強いのが特長である。"
14,ペール・クリーム(ラガー),"発祥は不明。
濃い金色からさらに淡い色で、モルトもホップも両方主張がなく、ボディーも軽いのが特長である。ビールによっては、通常副原料で使用される米やトウモロコシを使用せず、100%モルト(麦芽)で醸造されることもある。"
15,ボック(ラガー),"ドイツを発祥としたビールのスタイル。
濃いアンバーから茶色で炭酸が少々弱め、アルコールの度数が高いのとモルト(麦芽)の香りと味が強めのビール。"
16,マイ・ヘレスボック(ラガー),"ドイツを発祥としたビールのスタイル。
通常のボックより色が淡色でホップの香りと味がほのかにするのが特長である。伝統的に春先に飲まれていたボックがこのマイ・ヘレスボックである。"
17,メルツェン・オクトーバーフェスト(ラガー),"ドイツを発祥としたビールのスタイル。
昔は3月頃に仕込まれ10月のビールのお祭り「オクトーバーフェスト」で振る舞われたビール。従来は、アンバーから濃い茶色が色の特長だったが、現在はより淡色の物もある。ボディーがあり、モルト(麦芽)の香ばしさと甘みが特長である。"
18,IPA・インディアペール(エール),"イギリスを発祥としたビールのスタイル。
色は金から濃いアンバー。ホップの香りと苦味が特長である。17世紀、インドにビールを輸出するため、ペールエールのホップ(天然の防腐効果があるので)を強くし、アルコールの度数をあげた。これを行う事で長旅に耐えれるビールとなり、インドへ輸出できるようになったことから、インディアペールエール(IPA)という名前が付けられた。"
19,アルト(エール),ドイツを発祥としたビールのスタイル。色はアンバーから濃い茶。ドイツ語では、「アルト」は、古いという意味を持ち、古いビールということではなく、醸造方法がピルスナーのように下面発酵ではなく、古くからある上面発酵であることからこの名前が付けられている。味は様々だが、ホップの苦味とモルト香りと味がうまくバランスとれているビール多い。
20,アンバー・レッド(エール),発祥は不明。名前の通り色がアンバーや赤(金より濃く、ダークビールより明るい)ものをこのスタイルにまとめている。味や香りの幅が広いが、ホップよりはモルトの味と香りがやや強めのビールが主流。
21,クリーム(エール),"アメリカを発祥としたビールのスタイル。
淡色でホップとモルトのバランスがとれている。クリームエールは、エール特有の上面発酵を行った後、ラガーのように冷蔵保存の期間を持つ。醸造所などによっては、醸造工程でラガーの酵母を追加することもある。"
22,ケルシュ(エール),"ドイツを発祥としたビールのスタイル。
色は非常に淡い。ボディーは非常に軽く、フルーティーでありながら苦味が少ないのが特長。ドイツが定めているビール純粋令により、ケルシュと呼ばれるビールはドイツのケルンで醸造されているビールのみで、日本やそのほかの国や地域でケルシュと名乗っているビールは本来は「ケルシュ風」となる。"
23,スィート・ミルク・オートミールスタウト(エール),"発祥は不明。
通常のスタウトのモルトをさらに強く出し甘みを強調させたスタイルである。ミルクスタウトは、乳糖を使用する事で甘みを強調している。オートミールスタウトは、オートミールを追加することでビールのボディーを重くし、さらに喉越しが非常に滑らかになっているのが特長である。"
24,スコッチ・ウィーヘビー(エール),スコットランドを発祥としたビールのスタイル。色は濃い銅から茶色。スコティッシュエールと一緒にされることが多いが、まったく別のスタイルである。19世紀当時、イギリスで醸造されていたストロングエールやバーレーワインと似た特徴を持っていて、モルト由来の甘味が強く、ボディーも重く、アルコール度数が6度以上と高めが特徴。
25,スコティッシュ(エール),スコットランドを発祥としたビールのスタイル。スコッチエールと一緒にされることが多いが、まったく別のスタイルである。60(ライト)/70(ヘビー)/80(エキスポート)の三種類に部類され、これらの数字は19世紀当時のビール価格を表しているもので、数字が低いほどアルコール度数が低くい。ホップの存在はほとんど感じるこたがなく、モルトが中心となりほんのりとしたキャラメルの風味・甘味が特徴である。
