id,name,name_en,img_src,evaluation,looks,smell,taste,throat,total,style,ABV,IBU,brewery,description,brewery_id,style_id
1,SOBA DRY,,http://www.beer365.net/cache/fa7e227ca7f1112a7519bc6adc0dae06.png,4.29,4.6,4.5,5,4.9,5,スペシャルティー・その他,,,天童ブルワリー(山形県),山形県産更科そば使用のそばドライ。スッキリした飲み口に、ほのかなそばの香り、そしてドライな後味がとても人気があります。,286,50
2,BLUE MOON BELGIAN WHITE,,http://www.beer365.net/cache/1c784981c4d6761b7be0b4ab3af004ba.jpg,4.08,4,3.9,4.2,3.8,4.1,ベルジャンホワイト・ウィート・ヴィット(エール),5.50%,,,"ヘッドブリュワー、キース・ヴィラは、醸造学を学んだベルギーで、香り高いベルギービールにインスピレーションを得て、ビール造りへの想いを抱いた。彼は、伝統的な酸味の強いキュラソーオレンジの代わりにバレンシアオレンジの皮を使い、微かな甘さのある、彼独自のビールを生み出した。
その後、小麦とオーツ麦を加えることで、思わず杯を重ねたくなる、滑らかでクリーミーな後味を引き出すことに成功。仕上げにはオレンジ・ガーニッシュを添えてビールを提供することを考案した。
グラスに飾ったオレンジ・ガーニッシュが、ビールの持つシトラスの香りと風味をいっそう高めた。その、ナチュラルな無濾過の外観は、味わいの深さを一層引き立てる。",,40
3,ブリュードッグ パンク IPA,BREWDOG PUNK IPA,http://www.beer365.net/cache/774ab14c17414107b46f8622cda55bc5.jpg,3.97,3.9,4.1,3.9,3.9,3.9,IPA・インディアペール(エール),5.60%,35,BREWDOG BREWERY,"パンクIPAは、創業者ジェームズ・ワットが世界一のIPA（インディアンペールエール）を目指し、採算を度外視してつくり出した至高のIPAです。スタンダードアイテムながら、大量のホップを贅沢に使い、手間を惜しまず ドライホッピング を行い、ホップのアロマを最大限に引き出しています。
グラスに注ぐと透明感のあるクリアなゴールデンカラー。香りはしっかりとした上質な麦芽、トロピカルフルーツ、そして何よりも ブリュードッグらしいグレープフルーツ香 が、 大量のホップ とともに現れます。まさにホップの魔術師！飲み口の最初の印象は、香りの印象をそのまま引き継ぐ 南国フルーツと優雅な麦芽由来の甘さ、うっとりするビターグレープフルーツ 様の踊るホップ！ドライホッピングによる終わりの無い素晴らしい余韻へとつながります。
(株式会社ウィスク・イ－オフィシャルサイトより)
https://www.whisk-e.co.jp/product/mikkeller.html",151,18
4,ヤッホー よなよなエール,YO-HO YONA YONA ALE,http://www.beer365.net/cache/7887dd444992a0c88fb0285f284b4a90.jpg,3.84,3.8,3.8,3.9,3.4,3.9,ペール・ビター(エール),5%,36.5,ヤッホーブルーイング(長野県),"つややかな琥珀色、最高級アロマホップが織りなす柑橘系を思わせる華やかでふくよかな香り、ほんのり甘さを感じるコクとやわらかな苦味。
「よなよなエール」を飲むひと時は、日々の喧騒を忘れるような至福のひと時となることでしょう。
2012-2014年　モンドセレクション　最高金賞
2000-2007年　インターナショナル・ビア・コンペティション　金賞",280,41
5,シメイ ブルー,CHIMAY BLUE,http://www.beer365.net/cache/2316ac90a10596b88813a6f3198b3cf1.jpg,3.72,4,4.1,4.2,4.1,4.2,ストロング(エール),9%,,,"シメイの中で最も深い味わいを持つ「ブルー」。ラベルにビンテージが入っています。濃ルビー色の濃厚なボディーとハーブが効きフルーティーな味と香りのバランスが特徴のプレステージの高いビールで評論家達から「世界最高級品」と絶賛されています。瓶内二次発酵。
(輸入元: 三井食品株式会社)",,27
6,伊勢角屋 ペールエール,ISE KADOYA PALE ALE,http://www.beer365.net/cache/eb02ba1724e440c9fe0d8d5f366b56d4.jpg,3.63,3.4,4,4.4,3.8,4.1,ペール・ビター(エール),5%,,伊勢角屋麦酒(三重県),"口を近づけると、グレープフルーツなどを思わせる柑橘系・シトラスの、爽やかな香りと、フレッシュな果汁を思わせる柔らかな甘い香りが、華やかに広がります。舌の上を、軽やかな甘みと穏やかな苦みが優しく包みます。
後に残らないクリアな苦みが甘みの余韻をふくらませ、味わい深い中にも、クセが無く素直な飲み口が、香りの印象を引き立てています。
インターナショナル・ビア・コンペティション　 アメリカンスタイル・ペールエール　銀、銅賞
ジャパン・ビア・カップ　金、銀賞
2014年　インターナショナル・ビア・カップ　 ボトル部門　アメリカンスタイル・ペールエール部門　銀賞
2014年　インターナショナル・ビア・カップ　ケグ部門　アメリカンスタイル・ペールエール部門　銅賞
2011年　JAPAN CRAFT BEER SELECTION　ダイアモンド賞
2003年　Australian International Beer Awards Best of Class 金賞",216,41
7,僕ビール、君ビール。,"BOKU BEER, KIMI BEER",http://www.beer365.net/cache/121eed8defb1ef802f0448a33ed74936.jpg,3.61,3.4,3.8,4,3.3,3.9,セゾン(エール),5%,,,"麦芽とホップだけなのに、若い果実のようにフレッシュでジューシーなアロマが、ふわっと立ちのぼる。それでいて、キリッとしたホップの苦みが、フルーティなフレーバーを引き立てる。ホップと酵母がつくりだす重層的な味と香りに、ハッとさせられるビールです。
(オフィシャルサイトより)

ローソンとヤッホーブルーイングのコラボビール。",,28
8,ストーン IPA,STONE IPA,http://www.beer365.net/cache/d73428b93324e46ba19e1b4b4afe3f31.png,3.57,3.8,4.3,4.5,4,4.3,IPA・インディアペール(エール),6.90%,77,STONE BREWING CO.,"飲めば飲むほどに美味しくなっていく、数々の人を魅了し続けるIPA
(輸入元: ナガノトレーディングより)",140,18
9,ヤッホー インドの青鬼,YO-HO AOONI,http://www.beer365.net/cache/a7e7a6c17716280e2f8b1767657d97da.jpg,3.53,3.7,3.4,3.6,3.4,3.5,IPA・インディアペール(エール),7%,56,ヤッホーブルーイング(長野県),"「インドの青鬼」は、苦味が強烈な個性派ビールです。味の特徴はまさにホップの苦味と深いコク。口に含んでみると「ニガッツ!」と思わず声に出てしまうほどの強烈な苦さの中に、モルトの風味をしっかり感じることができるため、一度ハマるとクセになってしまう味わいに仕上がっています。
2011-2014年　モンドセレクション　金賞
2011、2012年　インターナショナル・ビア・コンペティション　イングレッシュ・インディアペールエール部門　金賞",280,18
10,独歩 マスカット ピルス,DOPPO MUSCAT PILS,http://www.beer365.net/cache/41e4b02fc4bc3f8b75b80e7235681cda.jpg,3.51,3.4,4.2,4.1,3.5,3.9,フルーツ・ベジタブル(ハイブリッド),5%,,宮下酒造株式会社(岡山県),岡山産のマスカット天然果汁を使用し、マスカットのすっきりとした爽やかな風味を楽しめる新しい発泡酒です。,187,48
