id,name,img_src,address,tel,web,description
1,Mt.Fuji Brewing,http://www.beer365.net/resize/r/110x110/noimage-brewery.jpg,日本 静岡県静岡県富士宮市大宮町４?５,0544-66-5223,https://mt-fuji.beer/,"「世界を仰ぐブルワリーレストラン」

富士山の恵みである湧き水を使用し、丹精込めて醸造された
ここでしか味わえないクラフトビール。

店内の窓からは、富士山本宮浅間大社や、
富士山の湧き水が流れる神田川を望むことができ、
ビールの味わいをいっそう美味しく楽しめます。
また、窯焼きというこだわりの調理法で、
富士宮の地元食材を使った料理が楽しめることも当店の特徴です。

味わい、楽しみ、素敵な時間が過ごせる場所。
富士宮の魅力に触れて、この地がもっと好きになる場所。
それが「Mt. Fuji Brewing」です。"
2,Be Easy Brewing　Aomori Craft Beer,http://www.beer365.net/cache/56e599e256d6ba092b4dc463bb2f3705.jpg,日本 青森県弘前市松ケ枝5-7-9,0172-78-1222,http://beeasybrewing.com/,"オーナー兼ブルワーのギャレス･バーンズ氏が、2016年10月24日に創業したブルワリー。

＜ホームページより＞
Be Easy Brewingは主要な２つの目標がある。
１つ目は、もちろん、すばらしいビールを作ること。（ほとんどの醸造家も同じだろう）
だから、私たちは決まった醸造スタイルというのを持たない。常により良いビールを求めて進化していく。新しいビールはいつでも常備し、みんなに愛されるビールをより美味しく提供する。
また、クラフトビールを理解すればするほど、もっとクラフトビールを楽しむことができる。だから食べ物に合うビール、季節に合うビールを提案し、さらにビールの細部まで理解できるようなビールを作っていく。例えば、２回の仕込みをする際に、どちらも同じモルト（麦芽）とイースト（酵母）を使うが、ホップだけは異なる国で生産されたものを使ってみるとかね。
初めの一口で、顔をほころばせる、明るい気持ちにさせる、そんなビールを作ること。僕らの作ったビールがたくさんの素敵な思い出につながっていくような、そんなビールを作りたい。全く新しい経験が、口にした瞬間生まれるような、そんなビールをね。

２つ目の目標は、青森に貢献できるような会社になること、また新たな雇用を生み出す会社を作ること。
一大チャレンジ、多くの観光客がそれ目的で青森に来てくれるようなビールを作ること。そして青森をクラフトビールで有名にすること。この青森にはたくさんのイイものがある。だから“小さな北の田舎の県”が持っているすばらしいものを体験すれば、訪れた人はきっとこの県を気に入ってくれると確信しているんだ。"
3,EBINA BEER,http://www.beer365.net/resize/r/110x110/noimage-brewery.jpg,,0172-78-1222,http://beeasybrewing.com/,"神奈川海老名市にある小さい醸造所です。
チェコ人の醸造主任が造るビールは、
ボヘミアンピルスナー、ラガー、
ダークラガーと
下面発酵ビールを得意とする。
タップは8タップ。
レストランも併設。"
4,調布 クラフトビール ワークス,http://www.beer365.net/cache/61db61c58f7fa2a300cc72820a3720eb.jpg,日本 東京都調布市国領町2-15-8,042-430-1088,https://www.facebook.com/%E8%AA%BF%E5%B8%83%E3%83%93%E3%82%A2%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9-795556343895382/,"調布市の国領にある醸造所「CHOFU CRAFT BEER WORKS」。
代表を務める""池森 薫""が、武蔵府中地区では初となる""発泡酒免許""を取得し、料理人のスキルと、想像力を駆使して、2016年の1/15からオリジナルブランド「St.Robinson(セントロビンソン)」というクラフトビールの販売を開始。手造り・無濾過で丁寧に造られたこのビールを、この小さなお店で池森社長自らご提供しております。"
5,タイニーレベル,http://www.beer365.net/cache/4d8a80257a578de74392aa2e9fc240d4.jpg,"イギリス Unit 12A Maesglas Industrial Estate,Newport",+44-1633-547378,http://www.tinyrebel.jp/,"Tiny Rebel社はイギリス(ウェールズ)ビール界の小さな反逆者達の集まりだ。

2012年に本格始動したまだ始まったばかりのブルワリーに世界中のビア・ファンが注目している。
そのキャッチーなアイコンとたしかなテイストはウェールズのビア大会で突如1位・2位・3位の3冠を獲得したことからも証明された。

昨年、ビア辞典としても有名な『1001 Beers: You Must Try Before You Die 2013』にも
注目ブルワリーとして記載され今、最も目が離せないブルワリーの一社だ。

(公式HPより引用)"
6,イーブル ツイン ブルーイング,http://www.beer365.net/cache/95a577d2dcadc5e8af77b8727a9d3955.jpg,"アメリカ合衆国 446 Kent Ave., Apt 14A, Brooklyn, New York,",+1-347-526-8925,http://eviltwin.dk/,"イーブル・ツイン・ブリューイングのイェッペ氏はデンマークにて知られる「ミッケラー」ブランドのミッケル氏の双子の兄弟であり、ミッケル氏に続いてデンマークを中心として醸造活動を開始しました。さらにデンマークでの醸造活動をアメリカ・ブルックリンに根拠を移し、現在は様々なアメリカの醸造所にて様々なビールの醸造を行っております。世界最大のビールレイティングサイトにて2013年に世界10位の醸造家としてランクインしております。
(輸入元: デリリウムカフェトーキョーより)"
7,サウンド ブルワリー,http://www.beer365.net/cache/2574b3fc4156c1f406f64e2422022bed.png,"アメリカ合衆国 650 NW Bovela Ln #3, Poulsbo, Washington",+1 360-930-8696,http://www.soundbrewery.com/,"マーク・フッド氏が、アメリカ、ワシントン州で設立した最新技術を導入したブルワリー。
プロの醸造家としての活動はまだ5年ですが、数々の賞を受賞し、ワシントン州の中でも注目のブルワリーとなっている。"
8,ドゥ ランク醸造所,http://www.beer365.net/cache/d5a4b5fa33374bdbe83e30bf531cefb5.jpg,"ベルギー Brugstraat 43, Wevelgem",+32-56-41-82-41,http://www.deranke.be/,"1994年にニノ バセル氏が自身の名前を使用したブルワリーを創業。
ニノ氏の家計では1930年頃からビール業界と深い関わりがあり、本人も1981年からビールの醸造を開始。醸造学を専門学校で学び90年代まで様々なビールを実験的に醸造。90年代に入ると、自身の醸造したビールを商業目的で販売したいと考え、既存のブルワリーに醸造施設を借り、ビールの一般販売を開始。初年度に9000リットルと好調な売れ行きとなり、「ニノバセル醸造所」の誕生となった。
この当初から醸造されていたのが、現在も醸造されている「ギュルデンベルク」。
1995年にギド デヴォ氏と出会い、1996年に共同出資の元、ニノバセル醸造所を会社化。さらに社名を現在の「ドゥ ランク」へ改名。

11年ほど他社の醸造施設を借りた後、自社の醸造施設をベルギー、エノー州ドティニーで設立。現在は、「ギュルデンベルク」以外にも5種類以上のビールを醸造。ヨーロッパ、アメリカ、アジアなど幅広くビールの販売を行っている。"
9,オリオンビール株式会社,http://www.beer365.net/cache/972be469da29bf9456f031faed84ff8f.jpg,日本 沖縄県浦添市字城間1985-1,098-877-5050,http://www.orionbeer.co.jp/,1957年に、沖縄の社会経済復興には製造業が必要とされ、名水が湧出していた名護市で沖縄ビール株式会社として設立された。現在は、日本の大手ビールメーカーの一つと認知され、シェアでは日本国内第5位。看板商品は、「オリオンビール」である。
10,ブルワリー ヘット アンケル,http://www.beer365.net/cache/13b4e82585506578f75c36e509cda799.jpeg,"ベルギー Guido Gezellelaan 49, Mechelen",+32-15-28-71-41,http://www.hetanker.be/,"メッヘレン市（Mechelen）の最も古い記録によれば、ヘット・アンケル（Het Anker）醸造所の歴史は1369年まで遡ることができますが、実際にはそれ以前から操業が始まっていたようです。このため、現在も操業している醸造所としてはヘット・アンケルがベルギーで最も古いものと言えるでしょう。
ヴァン・ブレーダム家（Van Breedam）が１８７３年にヘット・アンケル醸造所を買収し、ベルギーで最初の近代的蒸気式醸造工程を用いた醸造所のひとつへと拡大しました。１９９０年代の終わりには同ファミリー出身の５代目当主であるシャルレ・レクレ（Charles Leclef）が醸造所の再生計画をスタートさせることに決め、生産設備への新規投資と醸造所の古い建物の修復にとりかかりました。
現在では、一般見学者が歴史的な醸造所の建物を訪れることができ、パブやレストランが併設されたビール博物館や１９９９年からは小さなホテル設備も利用できるようになりました。
「グーデン・カロルス」（Gouden Carolus）は、ベルギーの最も古い醸造所の一つである当醸造所の代表ブランドとして世界中のビール愛好家から絶賛されています。
(輸入元: 小西酒造株式会社より)"
